rank,batch_size,learning_rate,regression_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
28,128,0.0005,3.0,6.0,2,3,1e-07,0.9906848447663619,0.15540443539619445,0.9702183186137087,0.9965055085460681,0.9960155519056707,50,196.26246690750122
29,64,0.00075,3.0,8.0,2,2,1e-08,0.9906492467488747,0.15400831798712414,0.9700414711318955,0.9966237723984753,0.9959317434651278,50,332.73811626434326
30,64,0.00075,2.0,8.0,2,2,1e-07,0.9906058972439581,0.10363276920715968,0.9695787607782435,0.9968796157177079,0.9959652124798811,50,319.90504574775696
31,128,0.00075,2.0,8.0,2,2,1e-08,0.9905657883712844,0.10282327836751938,0.9694748928180589,0.9965655936156391,0.9962226670514398,50,198.6375072002411
32,64,0.00075,3.0,6.0,2,2,1e-08,0.9904752153983932,0.1540898063580195,0.9690274144077623,0.9969075073679223,0.9959659398178884,50,325.7135875225067
33,128,0.0005,2.0,6.0,3,2,1e-08,0.9904397217395937,0.10568777108192444,0.9686393393986542,0.9970155320120047,0.9961040155477161,50,193.22486090660095
34,128,0.00075,2.0,8.0,2,3,1e-07,0.9904366326846059,0.10265210898717245,0.9687062494823911,0.9967516741853752,0.9962886070706569,50,197.8158016204834
35,128,0.00075,2.0,6.0,2,3,1e-08,0.9904291482721133,0.1008293134967486,0.9686371756056381,0.9969071675114632,0.9961722499713515,50,193.16030502319336
36,128,0.0005,2.0,6.0,2,3,1e-07,0.9903866267833035,0.10544158869981765,0.9694607754565353,0.9963625439800525,0.995723187696626,50,195.47429203987122
37,128,0.0005,3.0,6.0,3,2,1e-08,0.9903280690691874,0.16090177806218464,0.9691723372567208,0.9967178582171345,0.9954220808028944,50,193.2023413181305
38,128,0.00075,3.0,8.0,2,2,1e-07,0.9903004936721016,0.15391641449928284,0.9692651950728219,0.9956684425078564,0.9962683371077281,50,216.45830392837524
39,128,0.00075,3.0,6.0,2,3,1e-07,0.9902950865243356,0.1625891315539678,0.9687755603041094,0.9965484661848297,0.9958563196084032,50,200.23888230323792
40,128,0.00075,3.0,8.0,2,3,1e-08,0.9902742360699707,0.15240915624300638,0.9684548003307811,0.9964304288016621,0.9962117151474396,50,193.0502109527588
41,128,0.00075,2.0,6.0,2,3,1e-07,0.9902705741597768,0.1054402953783671,0.9692988646272572,0.9955385287632421,0.9962449032486078,50,193.35697436332703
42,128,0.00075,2.0,8.0,2,2,1e-07,0.9902683784202164,0.10374137596289316,0.9686194874037838,0.9965378194364279,0.995916206840654,50,215.46945428848267
43,128,0.0005,2.0,8.0,3,2,1e-08,0.9902521722573343,0.1074753878513972,0.9684964516648221,0.9965799282712879,0.9959323090932274,50,193.2203562259674
44,64,0.00075,2.0,8.0,2,2,1e-08,0.9901927377656861,0.10728056240081787,0.9684439185936262,0.9965718041978677,0.9957552282712504,50,336.1670606136322
45,128,0.0005,3.0,8.0,3,2,1e-08,0.9901668116486785,0.1573080774943034,0.9682964869684368,0.9963882612306199,0.9959824983956573,50,193.19983911514282
46,128,0.0005,3.0,8.0,2,3,1e-07,0.9901628331181421,0.16332369196414948,0.9680966341578905,0.9964640943875714,0.9960906039271066,50,195.78906321525574
47,128,0.0005,2.0,6.0,2,3,1e-08,0.9901485620281625,0.10964713613192241,0.9680871396192081,0.9966752650963621,0.9958318433970798,50,193.55664682388306
48,128,0.0005,3.0,8.0,2,3,1e-08,0.9901299855303174,0.15844511314233145,0.9682959019237768,0.9963596868155637,0.995864353381929,50,198.3907961845398
49,64,0.0005,3.0,8.0,3,2,1e-08,0.990112989130043,0.16107277369499207,0.9681588234784477,0.9965895123766876,0.9957036206650364,50,326.16046953201294
50,128,0.00075,2.0,8.0,2,3,1e-08,0.9901027920274342,0.10582686883211136,0.9680621822629936,0.9967187318100367,0.9956302540367065,50,193.17731928825378
51,64,0.0005,3.0,6.0,3,3,1e-07,0.9900809042264364,0.1614497309923172,0.9685163416243093,0.9961728316937792,0.9956344435876568,46,300.4764232635498
52,128,0.00075,3.0,6.0,2,3,1e-08,0.9900639709537492,0.16214751287301382,0.9678430574711457,0.9965419289010327,0.9958708974428184,50,200.57817268371582
