rank,batch_size,learning_rate,consistency_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
28,64,0.0005,0.5,5.0,3,3,1e-07,0.9344806409986113,0.14639302977222077,0.8216145707528892,0.9884072291182824,0.9934201231246624,47,107.33463406562805
29,64,0.0005,0.5,7.0,2,2,1e-08,0.93445078840474,0.15484449153250837,0.8243343121391687,0.9860906713773475,0.9929273816977036,50,117.48134398460388
30,64,0.0005,1.0,7.0,5,3,1e-08,0.9343437435457904,0.17912761702182445,0.8239732595359637,0.9878247006950093,0.9912332704063986,50,114.4027009010315
31,128,0.001,0.5,7.0,5,2,1e-07,0.9342974618818486,0.14646534681954282,0.8196880648146584,0.9908654001618975,0.9923389206689899,50,75.15401124954224
32,128,0.0005,0.5,5.0,2,2,1e-07,0.9342317945932096,0.15357656707154943,0.8261292341679956,0.9844654659704405,0.9921006836411929,50,75.39722037315369
33,64,0.001,0.5,5.0,3,2,1e-08,0.9342313799733465,0.14702843773238203,0.8197024076212615,0.9898465362902286,0.9931451960085494,50,114.4387309551239
34,64,0.0005,1.0,7.0,3,2,1e-08,0.9340608236547888,0.18656626673454935,0.8213201282329994,0.9867932413396886,0.9940691013916784,50,114.36016488075256
35,64,0.001,0.5,7.0,5,3,1e-07,0.9340247569305399,0.1467529738203008,0.8197781850188374,0.9890113954406099,0.9932846903321724,50,114.55733370780945
36,64,0.0005,1.0,7.0,5,2,1e-07,0.934014572845669,0.1771193578522256,0.8222149505382219,0.987258244581788,0.992570523416997,50,114.28209805488586
37,128,0.0005,1.0,7.0,3,3,1e-08,0.93395427800009,0.1763941249948867,0.8268374558905259,0.9864285260737657,0.9885968520359786,50,75.21005892753601
38,64,0.0005,1.0,5.0,5,3,1e-07,0.9339409936647253,0.17398551918090657,0.8204608104794392,0.9877898604394711,0.9935723100752654,50,114.37667894363403
39,64,0.001,0.5,7.0,3,3,1e-08,0.9339337893828499,0.15781983549290515,0.8226295681211108,0.9876561102974992,0.9915156897299394,45,102.68314170837402
40,64,0.001,0.5,7.0,3,2,1e-08,0.9339198732128967,0.14779897744351245,0.8196986125761183,0.9884750738887802,0.9935859331737918,45,103.02293276786804
41,64,0.0005,1.0,5.0,2,2,1e-08,0.9337809150209792,0.1796231579273305,0.8201964266872254,0.9872184308235358,0.9939278875521766,50,114.7274796962738
42,128,0.0005,0.5,7.0,2,3,1e-07,0.9337124579383875,0.1449575147413193,0.8235897490828104,0.9863435022831809,0.9912041224491712,50,75.20205211639404
43,128,0.0005,1.0,7.0,5,2,1e-08,0.9337089274904918,0.17732148328994182,0.8227547274082723,0.9843112980826543,0.9940607569805491,50,75.20255255699158
44,64,0.0005,1.0,5.0,5,2,1e-07,0.9335650935739649,0.1758064828654553,0.8221771077233677,0.984092224986791,0.994425948011736,50,114.28259873390198
45,128,0.0005,0.5,7.0,5,3,1e-08,0.9335024554356185,0.15632124124689306,0.823457676663394,0.9853002862546529,0.9917494033888088,50,75.18353652954102
46,64,0.001,1.0,5.0,3,2,1e-08,0.9333556317475681,0.1746602786982313,0.8202764549916545,0.9869216179595198,0.99286882229153,50,114.37717914581299
47,128,0.0005,1.0,5.0,5,2,1e-07,0.9332844310677993,0.17395141188134539,0.8207499338157861,0.9867607048040336,0.9923426545835785,50,75.29513192176819
48,128,0.001,0.5,7.0,5,3,1e-07,0.9332816153267111,0.1576686790648927,0.8211738119379087,0.9879079095851367,0.9907631244570876,50,75.21055912971497
49,64,0.0005,0.5,5.0,3,2,1e-07,0.9332801114656809,0.15497577136501353,0.8193164009715159,0.9889577810714835,0.9915661523540433,44,100.53479743003845
50,64,0.001,1.0,5.0,5,3,1e-07,0.9331618886902598,0.18979792620273347,0.8192613106031713,0.9881221692281036,0.992102186239505,50,114.2450659275055
51,64,0.0005,1.0,7.0,5,2,1e-08,0.9331119618936127,0.19082430823052182,0.8179731971491906,0.9884404312681806,0.9929222572634672,50,114.42171740531921
52,128,0.001,0.5,7.0,5,2,1e-08,0.933070351711243,0.1496133549416319,0.8178808625932099,0.9895301812211261,0.9918000113193928,50,75.17352747917175
53,128,0.0005,0.5,7.0,2,2,1e-07,0.9330582076010577,0.1523489550073096,0.822368620687327,0.9870474783284207,0.9897585237874256,50,75.37219858169556
54,128,0.0005,0.5,5.0,5,3,1e-08,0.9329771687176761,0.15935466815816596,0.825561057132727,0.9870761461295936,0.9862943028907076,50,75.24358773231506
55,64,0.001,0.5,5.0,5,2,1e-07,0.9329512213937864,0.15610803841276372,0.8192217375548885,0.9873590584327308,0.9922728681937397,50,114.44924092292786
56,128,0.001,0.5,7.0,2,3,1e-08,0.9329401021480898,0.15267895098696363,0.818010689194645,0.9871239094407508,0.9936857078088734,50,75.2891263961792
57,128,0.001,0.5,5.0,2,2,1e-08,0.9328117481622336,0.15211359896558396,0.817484664355765,0.9883663420831348,0.9925842380478009,50,75.35818576812744
58,64,0.0005,1.0,5.0,5,2,1e-08,0.9328092826794965,0.1956570437613954,0.8254973321474908,0.9824127863675944,0.9905177295234042,50,114.38868951797485
59,64,0.0005,1.0,7.0,5,3,1e-07,0.9327847226701497,0.19491993100085156,0.822025318350725,0.9828672137683229,0.9934616358914008,50,114.48477172851562
60,64,0.0005,0.5,5.0,5,2,1e-08,0.9327178092094082,0.14523913689116213,0.8152628289032295,0.9895272612142039,0.9933633375107913,50,114.5248053073883
61,64,0.0005,0.5,7.0,3,3,1e-07,0.9327099950872458,0.14935660444675608,0.8184246090500196,0.9861784513958374,0.9935269248158802,46,105.02815437316895
62,64,0.001,0.5,5.0,3,2,1e-07,0.932671470724733,0.14593359231948852,0.8143611823526606,0.9897732109091057,0.9938800189124328,50,114.5012857913971
63,64,0.001,0.5,7.0,2,3,1e-08,0.9325855077196428,0.15068379456692554,0.8179807749057159,0.9875520547460426,0.99222369350717,50,145.39280223846436
64,64,0.0005,0.5,7.0,2,3,1e-07,0.9325207367249123,0.15367366525721043,0.8178903953658068,0.9880621277366314,0.9916096870722987,50,141.72565507888794
